id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,release_date,popularity
3NxuezMdSLgt4OwHzBoUhL,Way Back Home,SHAUN,['SHAUN'],0.745,0.739,10,-4.591,1,0.0327,0.405,0.000183,0.127,0.556,99.913,214137,4,2018-06-27,73
6d47IUTad3wC2f4F0O4N9C,Underwater,Rendy Pandugo,['Rendy Pandugo'],0.466,0.654,4,-7.082,1,0.0453,0.000813,4.84e-06,0.121,0.269,153.839,228600,4,2018-12-07,59
0pDmW5AOpl1Wi58Ob0xXB8,Labirin,Tulus,['Tulus'],0.7,0.486,9,-6.869,1,0.0369,0.78,2.1e-05,0.105,0.673,96.059,182656,4,2018-08-24,60
6cr8DWptYzG874qN80GFxP,Prahara Cinta,MLDJAZZPROJECT,['MLDJAZZPROJECT'],0.687,0.448,11,-11.764,0,0.0518,0.168,0.00287,0.0463,0.681,105.054,273969,4,2018-09-02,29
4JXWLcfN9lBTtbJvf5fmeG,Dahulu,MLDJAZZPROJECT,['MLDJAZZPROJECT'],0.661,0.583,6,-11.208,0,0.0453,0.248,5.63e-05,0.0263,0.872,113.917,240155,4,2018-09-02,29
13E0JouKozIasVyScnO9Od,Kala Cinta Menggoda,MLDJAZZPROJECT,['MLDJAZZPROJECT'],0.761,0.493,7,-10.575,1,0.0455,0.286,0.00287,0.0858,0.657,96.01,244095,4,2018-09-02,35
2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,['Billie Eilish'],0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4,2019-03-29,89
1YMBg7rOjxzbya0fPOYfNX,A Different Way (with Lauv),DJ Snake,"['DJ Snake', 'Lauv']",0.784,0.757,8,-3.912,1,0.0384,0.495,1.18e-06,0.142,0.587,104.996,198286,4,2017-09-21,66
2rd4FH1cSaWGc0ZiUaMbX9,Lover Boy,Phum Viphurit,['Phum Viphurit'],0.798,0.556,11,-8.597,1,0.0303,0.527,0.000353,0.0959,0.627,109.994,236727,4,2018-03-22,66
5Yn2BwkJCWSg4XDwVb7ouY,Wahai Kau Tuan,Widi Mulia,['Widi Mulia'],0.586,0.695,2,-7.601,1,0.0339,0.532,0.00499,0.108,0.694,84.957,260625,4,2017-12-08,27
